the_geom,SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.69959365144675 41.937475775108396),400082,UNO CHTR - FUENTES,"2845 W Barry Ave, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6995936516,41.9374757762
POINT (-87.69255089867096 41.85003541229726),400083,UNO CHTR - PAZ,"2651 W 23rd St, 60608",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6925508987,41.8500354133
POINT (-87.69386163539056 41.799930185927614),400084,UNO CHTR - TAMAYO,"5135 S California Ave, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.693861636,41.799930187
POINT (-87.73046684945614 41.809170789228574),400085,UNO CHTR - MAJOR HECTOR P.GARCIA,"4248 W 47th St, 60632",HS,"9, 10, 11, 12",Charter,-87.7304668491,41.8091707899
POINT (-87.63435669192559 41.781497815831855),400086,URBAN PREP CHTR - ENGLEWOOD,"6201 S Stewart Ave, 60621",HS,"9, 10, 11, 12",Charter,-87.6343566919,41.7814978168
POINT (-87.61872379631045 41.84454380554294),400087,YOUNG WOMEN'S LEADERSHIP CHTR,"2641 S Calumet Ave, 60616",HS,"7, 8, 9, 10, 11, 12",Charter,-87.6187237962,41.8445438065
POINT (-87.69739409699946 41.80830882382766),400089,UNO CHTR - MARQUEZ,"2916 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6973940968,41.8083088242
POINT (-87.65909480292642 41.86330140822328),400091,CHICAGO TECH ACADEMY,"1301 W 14th St, 60608",HS,"9, 10, 11, 12",Contract,-87.6590948034,41.863301409
POINT (-87.60503910190955 41.653663449416015),400092,CICS - LLOYD BOND,"13300 S Langley Ave, 60827",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.6050391022,41.6536634504
POINT (-87.55022236950532 41.744849105595485),400094,EPIC CHTR HS,"8255 S Houston Ave, 60617",HS,"9, 10, 11, 12",Charter,-87.5502223699,41.7448491061
POINT (-87.66407246853345 41.90779717825756),400096,ROWE CHTR,"1424 N Cleaver St, 60642",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.6640724683,41.907797179
POINT (-87.67819525963878 41.87880880794607),400097,NOBLE CHTR - CHGO BULLS,"2040 W Adams St, 60612",HS,"9, 10, 11, 12",Charter,-87.6781952601,41.878808809
POINT (-87.62633828219971 41.88274025710012),400098,NOBLE CHTR - MUCHIN,"1 N State St, 60602",HS,"9, 10, 11, 12",Charter,-87.6263382826,41.8827402583
POINT (-87.69399616198365 41.8228837404716),400101,UNO CHTR - SANDRA CISNEROS,"2744 W Pershing Rd, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6939961617,41.8228837416
POINT (-87.66010654063662 41.86254001922581),400102,URBAN PREP CHTR - WEST,"1326 W 14th Pl, 60608",HS,"9, 10, 11, 12",Charter,-87.6601065401,41.8625400198
POINT (-87.6872401588268 41.84596658769947),400104,INSTITUTO CHTR - HEALTH SCIENCES,"2520 S Western Ave, 60608",HS,"9, 10, 11, 12",Charter,-87.6872401586,41.8459665888
POINT (-87.61362864698684 41.83111753084326),400105,URBAN PREP CHTR - BRONZEVILLE,"521 E 35th St, 60616",HS,"9, 10, 11, 12",Charter,-87.6136286474,41.8311175313
POINT (-87.63511669835238 41.77836949834166),400106,NOBLE CHTR - JOHNSON,"6350 S Stewart Ave, 60621",HS,"9, 10, 11, 12",Charter,-87.6351166981,41.778369499
POINT (-87.54557989281986 41.73333313284307),400107,LEARN CHRT - SOUTH CHICAGO,"8914 S Buffalo Ave, 60617",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.5455798925,41.7333331332
POINT (-87.60187328312416 41.65314105667224),400108,CICS - HAWKINS,"801 E 133rd Pl, 60827",HS,"7, 8, 9, 10, 11, 12",Charter,-87.6018732837,41.6531410576
POINT (-87.66241565286293 41.72113645497962),400109,PROLOGUE - JOHNSTON CHTR HS,"1551 W 95th St, 60643",HS,"9, 10, 11, 12",Charter,-87.6624156534,41.7211364554
POINT (-87.66572105552245 41.74312176998597),400111,LEARN CHTR - HUNTER PERKINS,"1700 W 83rd St, 60620",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.665721055,41.7431217705
POINT (-87.70879678421302 41.80104241336387),400112,UNO CHTR - HOMAN ES,"5050 S Homan Ave, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7087967837,41.8010424143
POINT (-87.6455614997251 41.90779679504793),400113,CICS - CHICAGOQUEST NORTH,"1443 N Ogden Ave, 60610",HS,"6, 7, 8, 9, 10",Charter,-87.6455614992,41.907796796
POINT (-87.68989562476189 41.90034363442005),400114,UNO CHTR - ESMERALDA SANTIAGO,"2510 W Cortez St, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6898956253,41.9003436354
POINT (-87.6930753226288 41.770991718211576),400115,CATALYST CHTR - MARIA,"6727 S California Ave, 60629",ES,"K, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12",Charter,-87.6930753223,41.7709917191
POINT (-87.67614672680385 41.7745716015998),400116,MONTESSORI CHTR - ENGLEWOOD,"6550 S Seeley Ave, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6",Charter,-87.676146727,41.7745716026
POINT (-87.65098672782085 41.734441622545084),400117,NOBLE CHTR - HANSBERRY,"8748 S Aberdeen St, 60620",HS,"9, 10, 11",Charter,-87.6509867281,41.7344416234
POINT (-87.71165422586564 41.86932807646286),400118,NOBLE CHTR - DRW,"931 S Homan Ave, 60624",HS,"9, 10, 11",Charter,-87.711654226,41.8693280768
POINT (-87.73377838310492 41.88173275840047),400119,LEGAL PREP CHTR ACADEMY,"4319 W Washington Blvd, 60612",HS,"9, 10, 11",Charter,-87.7337783826,41.8817327589
POINT (-87.78783043795977 41.917951679001526),400120,UNO CHTR - NEAR WEST,"2050 N Natchez Ave, 60707",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7878304377,41.9179516801
POINT (-87.68440568153892 42.01647588165271),400121,UNO CHTR - ROGERS PARK,"7416 N Ridge Blvd, 60645",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",Charter,-87.684405682,42.0164758821
POINT (-87.74253889944762 41.880447187300774),400123,YCCS CHTR - ASA,"4651 W Madison St, 60644",HS,"10, 11, 12",Charter,-87.742538899,41.8804471877
